FrameNumber,FrameURL,networkID_x,lane_x,latitude,longitude,gps_curvature,networkID_y,lane_y,loc
5,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000005.jpg,10009,L1,-37.7231038,175.23064778,-0.0004030508610116,10009,L1,126.78655298137495
5,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000005.jpg,10009,L1,-37.7231038,175.23064778,-0.0004030508610116,10009,R1,30.42405180306927
5,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000005.jpg,10009,L1,-37.72339315999999,175.23048176,0.053724400449295,10009,L1,126.78655298137495
5,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000005.jpg,10009,L1,-37.72339315999999,175.23048176,0.053724400449295,10009,R1,30.42405180306927
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000006.jpg,10009,L1,-37.72315452,175.23069504,0.0005017946342906,10009,L1,132.39401815435366
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000006.jpg,10009,L1,-37.72315452,175.23069504,0.0005017946342906,10009,R1,30.42405180306927
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000006.jpg,10009,L1,-37.69786796,175.22436904,-7.964317709305024e-05,10009,L1,132.39401815435366
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000006.jpg,10009,L1,-37.69786796,175.22436904,-7.964317709305024e-05,10009,R1,30.42405180306927
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000006.jpg,10009,L1,-37.72310574,175.23069002,-0.0003901351348486,10009,L1,132.39401815435366
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000006.jpg,10009,L1,-37.72310574,175.23069002,-0.0003901351348486,10009,R1,30.42405180306927
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000006.jpg,10009,L1,-37.72340704,175.23052736,0.0463728577650435,10009,L1,132.39401815435366
6,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000006.jpg,10009,L1,-37.72340704,175.23052736,0.0463728577650435,10009,R1,30.42405180306927
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000007.jpg,10009,L1,-37.7231514,175.23071934,0.0004620496669848,10009,L1,132.39401815435366
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000007.jpg,10009,L1,-37.7231514,175.23071934,0.0004620496669848,10009,R1,36.92021647393718
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000007.jpg,10009,L1,-37.69786622,175.22439558000002,0.0001896719234029,10009,L1,132.39401815435366
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000007.jpg,10009,L1,-37.69786622,175.22439558000002,0.0001896719234029,10009,R1,36.92021647393718
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000007.jpg,10009,L1,-37.72310574,175.23069002,-0.0003897034062135,10009,L1,132.39401815435366
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_4530499778/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_4530499778-0000007.jpg,10009,L1,-37.72310574,175.23069002,-0.0003897034062135,10009,R1,36.92021647393718
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000007.jpg,10009,L1,-37.72340704,175.23052736,-0.0003897021800124,10009,L1,132.39401815435366
7,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000007.jpg,10009,L1,-37.72340704,175.23052736,-0.0003897021800124,10009,R1,36.92021647393718
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000008.jpg,10009,L1,-37.69786622,175.22439558000002,0.0001924107354461,10009,L1,60.712977977779765
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000008.jpg,10009,L1,-37.69786622,175.22439558000002,0.0001924107354461,10009,R1,43.41638194895518
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000008.jpg,10009,L1,-37.69782056,175.22436625999998,0.00019314028364,10009,L1,60.712977977779765
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000008.jpg,10009,L1,-37.69782056,175.22436625999998,0.00019314028364,10009,R1,43.41638194895518
8,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000008.jpg,10009,L1,-37.72336138,175.23049804,-0.0003897023658315,10009,L1,60.712977977779765
